Date	serie1	serie2	serie3	serie4	serie5	serie6
30/09/05	14.64	0.3596	0.022798915	0.03797566	0.022798915	0.03797566
07/10/05	14.73	0.3632	0.006128722	0.009961344	0.006128722	0.009961344
14/10/05	15.02	0.3721	0.019496416	0.024208989	0.019496416	0.024208989
21/10/05	15.05	0.3687	0.001995345	-0.00917933	0.001995345	0.00917933
28/10/05	15.15	0.3569	0.006622541	-0.032527675	0.006622541	0.032527675
04/11/05	15.64	0.3631	0.031831203	0.017222648	0.031831203	0.017222648
11/11/05	15.97	0.3712	0.020880227	0.022062722	0.020880227	0.022062722
18/11/05	15.39	0.3663	-0.036994014	-0.013288331	0.036994014	0.013288331
25/11/05	15.15	0.3662	-0.015717416	-0.000273038	0.015717416	0.000273038
02/12/05	15.28	0.3909	0.008544252	0.065272141	0.008544252	0.065272141
09/12/05	16.16	0.4196	0.055994269	0.070850104	0.055994269	0.070850104
16/12/05	16.84	0.4221	0.041217956	0.005940376	0.041217956	0.005940376
23/12/05	18.67	0.4246	0.103160949	0.005905296	0.103160949	0.005905296
29/12/05	19.6	0.4312	0.048611609	0.01542447	0.048611609	0.01542447
06/01/06	20.95	0.4487	0.06660908	0.039782493	0.06660908	0.039782493
13/01/06	21.01	0.4501	0.002859868	0.003115267	0.002859868	0.003115267
20/01/06	20.91	0.4393	-0.004771001	-0.024287229	0.004771001	0.024287229
27/01/06	21.75	0.4528	0.039386244	0.030267976	0.039386244	0.030267976
03/02/06	22.61	0.4579	0.038778529	0.011200293	0.038778529	0.011200293
10/02/06	23.68	0.4764	0.046238524	0.039607018	0.046238524	0.039607018
17/02/06	24.66	0.5025	0.040551688	0.053337802	0.040551688	0.053337802
24/02/06	24.67	0.539	0.000405433	0.070119931	0.000405433	0.070119931
03/03/06	25.4	0.568	0.029161243	0.052405848	0.029161243	0.052405848
10/03/06	24.66	0.5748	-0.029566676	0.011900735	0.029566676	0.011900735
17/03/06	24.39	0.5786	-0.011009286	0.006589238	0.011009286	0.006589238
24/03/06	23.12	0.5623	-0.053475168	-0.028575877	0.053475168	0.028575877
31/03/06	23.07	0.5461	-0.002164972	-0.029233406	0.002164972	0.029233406
07/04/06	23.59	0.542	0.022289821	-0.007536108	0.022289821	0.007536108
13/04/06	23.96	0.5236	0.01556288	-0.034537967	0.01556288	0.034537967
20/04/06	24.02	0.4914	0.002501043	-0.063469574	0.002501043	0.063469574
28/04/06	23.79	0.4293	-0.009621492	-0.135102485	0.009621492	0.135102485
05/05/06	23.98	0.4145	0.007954825	-0.035083001	0.007954825	0.035083001
12/05/06	22.31	0.41	-0.072185141	-0.010915815	0.072185141	0.010915815
19/05/06	21.67	0.3841	-0.029106193	-0.065254224	0.029106193	0.065254224
26/05/06	21.78	0.3649	0.005063302	-0.051279592	0.005063302	0.051279592
02/06/06	21.61	0.3681	-0.007835947	0.008731297	0.007835947	0.008731297
09/06/06	21.94	0.3769	0.015155284	0.02362526	0.015155284	0.02362526
16/06/06	22	0.3735	0.002730999	-0.009061896	0.002730999	0.009061896
23/06/06	22.31	0.3825	0.013992555	0.023810649	0.013992555	0.023810649
30/06/06	23.29	0.3976	0.042989075	0.038717822	0.042989075	0.038717822
07/07/06	23.24	0.4109	-0.002149152	0.032903401	0.002149152	0.032903401
14/07/06	22.73	0.4135	-0.022189294	0.006307639	0.022189294	0.006307639
21/07/06	22.93	0.4147	0.008760459	0.002897853	0.008760459	0.002897853
28/07/06	22.44	0.4091	-0.021601016	-0.013595742	0.021601016	0.013595742
04/08/06	21.87	0.4046	-0.025729246	-0.0110607	0.025729246	0.0110607
11/08/06	21.45	0.3921	-0.019391189	-0.031382015	0.019391189	0.031382015
18/08/06	19.89	0.3677	-0.075507553	-0.064249521	0.075507553	0.064249521
25/08/06	18.93	0.3665	-0.049469128	-0.003268867	0.049469128	0.003268867
01/09/06	18.31	0.3611	-0.033300607	-0.014843593	0.033300607	0.014843593
08/09/06	17.71	0.3587	-0.033317907	-0.006668544	0.033317907	0.006668544
15/09/06	17.53	0.3488	-0.010215753	-0.027987693	0.010215753	0.027987693
22/09/06	17.2	0.3429	-0.019004315	-0.017059833	0.019004315	0.017059833
29/09/06	17.41	0.3439	0.01213537	0.002912058	0.01213537	0.002912058
06/10/06	17.23	0.3525	-0.010392703	0.024699705	0.010392703	0.024699705
13/10/06	17.41	0.3528	0.010392703	0.000850702	0.010392703	0.000850702
20/10/06	17.39	0.355	-0.001149425	0.006216465	0.001149425	0.006216465
27/10/06	17.36	0.354	-0.001726619	-0.002820876	0.001726619	0.002820876
03/11/06	17.16	0.3541	-0.011587615	0.000282446	0.011587615	0.000282446
10/11/06	16.88	0.354	-0.016451605	-0.000282446	0.016451605	0.000282446
17/11/06	16.82	0.3471	-0.003560835	-0.01968399	0.003560835	0.01968399
24/11/06	16.79	0.3448	-0.001785183	-0.006648384	0.001785183	0.006648384
01/12/06	16.82	0.3431	0.001785183	-0.004942589	0.001785183	0.004942589
08/12/06	17.06	0.3508	0.014167888	0.022194311	0.014167888	0.022194311
15/12/06	17.19	0.3578	0.007591277	0.019757911	0.007591277	0.019757911
